test_clinic,percentile,n_observed,method,covered,width,infinite,lower,upper,true_y,mu_hat,n_cal_groups,n_test_observed,n_test_total
8,25,22,Subsampling,0,96.74236439549725,0,101.77248401915969,198.51484841465694,97.33,150.14366621690831,17,22,23
8,25,22,Repeated,0,56.70004081495058,0,121.79364580943302,178.4936866243836,97.33,150.14366621690831,17,22,23
8,50,12,HCP++,1,45.044983365231985,0,100.70394209404279,145.74892545927477,114.33,123.22643377665878,17,12,23
8,50,12,HCP.sample,0,44.37258292801903,0,115.12636516203816,159.49894809005718,114.33,123.22643377665878,17,12,23
8,50,12,HCP,1,56.858718070110285,0,109.00690959540799,165.86562766551828,114.33,137.43626863046313,17,12,23
8,50,12,Pooling,0,45.512878985387715,0,114.67982913776927,160.192708123157,114.33,137.43626863046313,17,12,23
8,50,12,Subsampling,1,89.03121451608598,0,92.92066137242014,181.95187588850612,114.33,137.43626863046313,17,12,23
8,50,12,Repeated,1,59.39507226067724,0,107.73873250012451,167.13380476080175,114.33,137.43626863046313,17,12,23
8,75,10,HCP++,1,45.25760800785082,0,100.30224336519422,145.55985137304503,144.33,122.93104736911963,17,10,23
8,75,10,HCP.sample,1,46.71365430883752,0,99.70411687023501,146.41777117907253,144.33,122.93104736911963,17,10,23
8,75,10,HCP,1,56.858718070110285,0,109.81784753966105,166.67656560977133,144.33,138.2472065747162,17,10,23
8,75,10,Pooling,1,45.512878985387715,0,115.49076708202233,161.00364606741005,144.33,138.2472065747162,17,10,23
8,75,10,Subsampling,1,96.74236439549725,0,89.87602437696756,186.6183887724648,144.33,138.2472065747162,17,10,23
8,75,10,Repeated,1,59.39507226067724,0,108.54967044437757,167.9447427050548,144.33,138.2472065747162,17,10,23
13,0,10,HCP++,1,48.1507419395233,0,98.85463034157854,147.00537228110184,144.33,122.93000131134019,17,10,22
13,0,10,HCP.sample,1,46.08621122173048,0,109.60850553558652,155.694716757317,144.33,122.93000131134019,17,10,22
13,0,10,HCP,1,56.858718070110285,0,109.81784753966105,166.67656560977133,144.33,138.2472065747162,17,10,22
13,0,10,Pooling,1,45.512878985387715,0,115.49076708202233,161.00364606741005,144.33,138.2472065747162,17,10,22
13,0,10,Subsampling,1,74.72273446403314,0,100.88583934269961,175.60857380673275,144.33,138.2472065747162,17,10,22
13,0,10,Repeated,1,55.0851391585271,0,110.70463699545265,165.78977615397974,144.33,138.2472065747162,17,10,22
13,25,9,HCP++,1,48.148373267066745,0,96.82375203830622,144.97212530537297,122.33,120.8979386718396,17,9,22
13,25,9,HCP.sample,1,46.65957146764083,0,97.58077027289193,144.24034174053276,122.33,120.8979386718396,17,9,22
13,25,9,HCP,1,56.858718070110285,0,107.5228931574249,164.3816112275352,122.33,135.95225219248005,17,9,22
13,25,9,Pooling,1,45.512878985387715,0,113.19581269978619,158.7086916851739,122.33,135.95225219248005,17,9,22
13,25,9,Subsampling,1,89.03121451608598,0,91.43664493443706,180.46785945052304,122.33,135.95225219248005,17,9,22
13,25,9,Repeated,1,59.70424028400333,0,106.10013205047838,165.8043723344817,122.33,135.95225219248005,17,9,22
13,50,18,HCP++,1,55.275014004155636,0,99.31300801389018,154.58802201804582,119.33,126.95051501596801,17,18,22
13,50,18,HCP.sample,1,44.176549647875376,0,108.88134135995564,153.05789100783102,119.33,126.95051501596801,17,18,22
13,50,18,HCP,1,56.858718070110285,0,106.8457599739736,163.70447804408388,119.33,135.27511900902874,17,18,22
13,50,18,Pooling,1,45.512878985387715,0,112.51867951633488,158.0315585017226,119.33,135.27511900902874,17,18,22
13,50,18,Subsampling,1,65.8012819298897,0,102.37447804408389,168.17575997397358,119.33,135.27511900902874,17,18,22
13,50,18,Repeated,1,54.049233175954726,0,108.25050242105138,162.2997355970061,119.33,135.27511900902874,17,18,22
13,75,2,HCP++,0,54.30132432950238,0,107.9552813351997,162.25660566470208,107.0,135.10594349995088,17,2,22
13,75,2,HCP.sample,1,56.466370514488005,0,104.56394929982454,161.03031981431255,107.0,135.10594349995088,17,2,22
13,75,2,HCP,1,56.858718070110285,0,104.14128192988971,161.0,107.0,132.57064096494486,17,2,22
13,75,2,Pooling,0,45.512878985387715,0,109.814201472251,155.32708045763871,107.0,132.57064096494486,17,2,22
13,75,2,Subsampling,1,84.28035820173409,0,90.43046186407781,174.7108200658119,107.0,132.57064096494486,17,2,22
13,75,2,Repeated,1,59.70424028400333,0,102.71852082294319,162.42276110694652,107.0,132.57064096494486,17,2,22
14,0,4,HCP++,1,79.76971647760843,0,96.24696696961686,176.0166834472253,107.67,136.13182520842108,17,4,21
14,0,4,HCP.sample,1,72.89184003011144,0,96.96135999498142,169.85320002509286,107.67,136.13182520842108,17,4,21
14,0,4,HCP,0,56.858718070110285,0,108.87310483460624,165.73182290471652,107.67,137.30246386966138,17,4,21
14,0,4,Pooling,0,45.512878985387715,0,114.54602437696752,160.05890336235524,107.67,137.30246386966138,17,4,21
14,0,4,Subsampling,1,63.765904237351094,0,105.41951175098583,169.18541598833693,107.67,137.30246386966138,17,4,21
14,0,4,Repeated,0,56.70004081495061,0,108.95244346218608,165.6524842771367,107.67,137.30246386966138,17,4,21
14,25,12,HCP++,1,45.044983365231985,0,100.70394209404279,145.74892545927477,114.33,123.22643377665878,17,12,21
14,25,12,HCP.sample,1,49.8355240067786,0,104.17317932673865,154.00870333351725,114.33,123.22643377665878,17,12,21
14,25,12,HCP,1,56.858718070110285,0,109.00690959540799,165.86562766551828,114.33,137.43626863046313,17,12,21
14,25,12,Pooling,0,45.512878985387715,0,114.67982913776927,160.192708123157,114.33,137.43626863046313,17,12,21
14,25,12,Subsampling,0,42.281493349094035,0,116.29552195591612,158.57701530501015,114.33,137.43626863046313,17,12,21
14,25,12,Repeated,1,56.858718070110285,0,109.00690959540799,165.86562766551828,114.33,137.43626863046313,17,12,21
14,50,10,HCP++,1,45.25760800785082,0,100.30224336519422,145.55985137304503,144.33,122.93104736911963,17,10,21
14,50,10,HCP.sample,1,56.36256325272019,0,99.39827680875742,155.7608400614776,144.33,122.93104736911963,17,10,21
14,50,10,HCP,1,56.858718070110285,0,109.81784753966105,166.67656560977133,144.33,138.2472065747162,17,10,21
14,50,10,Pooling,1,45.512878985387715,0,115.49076708202233,161.00364606741005,144.33,138.2472065747162,17,10,21
14,50,10,Subsampling,1,54.049233175954726,0,111.22258998673883,165.27182316269355,144.33,138.2472065747162,17,10,21
14,50,10,Repeated,1,56.70004081495061,0,109.89718616724089,166.5972269821915,144.33,138.2472065747162,17,10,21
14,75,17,HCP++,0,51.45182585267929,0,104.35099293167042,155.8028187843497,160.0,130.07690585801006,17,17,21
14,75,17,HCP.sample,0,47.54837695344759,0,104.4935764391933,152.0419533926409,160.0,130.07690585801006,17,17,21
14,75,17,HCP,1,56.858718070110285,0,107.7905026790284,164.6492207491387,160.0,136.21986171408355,17,17,21
14,75,17,Pooling,0,45.512878985387715,0,113.46342222138969,158.9763012067774,160.0,136.21986171408355,17,17,21
14,75,17,Subsampling,1,54.049233175954726,0,109.19524512610619,163.2444783020609,160.0,136.21986171408355,17,17,21
14,75,17,Repeated,1,53.71964179826591,0,109.3600408149506,163.0796826132165,160.0,136.21986171408355,17,17,21
18,0,9,HCP++,1,47.038745737317925,0,97.38011537459366,144.41886111191158,122.33,120.89948824325262,17,9,21
18,0,9,HCP.sample,1,45.26503688529078,0,112.51509027540118,157.78012716069196,122.33,120.89948824325262,17,9,21
18,0,9,HCP,1,56.858718070110285,0,107.5228931574249,164.3816112275352,122.33,135.95225219248005,17,9,21
18,0,9,Pooling,1,45.512878985387715,0,113.19581269978619,158.7086916851739,122.33,135.95225219248005,17,9,21
18,0,9,Subsampling,1,48.226803627828815,0,111.83885037856564,160.06565400639445,122.33,135.95225219248005,17,9,21
18,0,9,Repeated,1,55.0851391585271,0,108.4096826132165,163.4948217717436,122.33,135.95225219248005,17,9,21
18,25,13,HCP++,1,47.455998452129506,0,102.87487659080878,150.3308750429383,137.67,126.60287581687354,17,13,21
18,25,13,HCP.sample,1,45.504509787840945,0,104.9171648298953,150.42167461773624,137.67,126.60287581687354,17,13,21
18,25,13,HCP,1,56.858718070110285,0,108.60144062328146,165.46015869339175,137.67,137.0307996583366,17,13,21
18,25,13,Pooling,1,45.512878985387715,0,114.27436016564275,159.78723915103046,137.67,137.0307996583366,17,13,21
18,25,13,Subsampling,1,36.0346489063146,0,119.0134752051793,155.0481241114939,137.67,137.0307996583366,17,13,21
